Food Item,Price per g,Food Item,Cost ,Quantity,Unit,Conversion to g,Unit,,
Bread,0.5022026432,Bread,2.28,1,lb,454,lb,lb,
Rice,0.1330357143,Rice,2.98,80,oz.,2240,oz.,oz.,
Pasta,0.8546255507,Pasta,3.88,1,lb,454,1 lb,lb,
cereals,0.6984126984,Whole grain cereals (Cherrios toasted oat),3.52,18,oz,504,18 oz,oz,
Bagels,0.3299916458,Bagels,1.58,17.1,oz,478.8,17.1 oz,oz,87
Apple,0.3281938326,Apple,1.49,1,lb,454,lb,lb,
Orange,0.2863436123,Orange,1.3,1,lb,454,lb,lb,
Banana,0.1035242291,Banana,0.47,1,lb,454,lb,lb,
Broccoli,0.3942731278,Broccoli,1.79,1,lb,454,lb,lb,
Corn,0.1592505855,Corn,0.68,15.25,oz.,427,15.25,oz.,
Carrot,0.1740088106,Carrot,0.79,1,lb,454,lb,lb,
Potato,0.1938325991,Potato,0.88,1,lb,454,lb,lb,
lettuce,0.8303571429,Lettuce (shredded),1.86,8,oz.,224,8 oz,oz.,
Onion,0.5982142857,Onion,2.68,16,oz.,448,16 oz,oz.,
Tomato,0.2249589491,Tomato,5.48,87,oz.,2436,6 cans of 14.5 oz,,
Green beans,0.4383259912,Green beans,1.99,1,lb,454,lb,,
Bologna,1.178571429,Bologna,5.28,16,oz.,448,16 oz,,
chicken,0.52,Chicken (canned),5.46,37.5,oz.,1050,3 cans of 12.5,,37.5
pork,0.5462555066,Pork (spareribs Vac Pack),2.48,1,lb,454,lb,,
ground.beef,0.9383259912,Ground beef,4.26,1,lb.,454,1 lb,,
tuna,0.5285714286,Tuna (canned),2.96,20,oz.,560,4 cans of 5 oz,,
Egg,0.4928571429,Egg,2.76,1,oz.,560,dozen = 20 oz,,
Turkey,1,Turkey,4.48,16,oz.,448,16 oz,,
canned.beans,0.1463700234,Canned Beans (Black),2.5,61,oz.,1708,4 15.25 oz,,61
nuts,1.973214286,Nuts (Mixed),8.84,16,oz.,448,16 oz,,
cream.cheese,0.875,Cream Cheese,1.96,8,oz.,224,8 oz,,
tomato.sauce,0.1893939394,Tomato Sauce,3.5,66,oz.,1848,66 oz,,
Cheese,0.7678571429,Cheese,6.88,32,oz.,896,32 oz,,
peanut.butter,0.3901785714,Peanut Butter,4.37,40,oz.,1120,40 oz,,
Milk,0.09247027741,Milk,3.5,1,gallon,3785,gallon,,
